Punk_id,Rarity,Genre,Skin,Traits,Owned_by
9030,9377,Female,Dark,"['BlackLipstick', 'FrumpyHair', 'RegularShades']",0x4d8E16
9031,4756,Male,Albino,"['BigShades', 'CapForward']",0xC5FaF1
9032,3270,Male,Mid,"['Earring', 'GoldChain', 'HornedRimGlasses', 'KnittedCap', 'Mole']",0xC6a820
9033,9741,Male,Albino,"['EyePatch', 'StringyHair']",0x2478C4
9034,1665,Female,Mid,"['Earring', 'HornedRimGlasses', 'HotLipstick', 'WildBlonde']",0x31a5Ff
9035,5779,Female,Dark,"['Earring', 'GreenEyeShadow', 'Mohawk']",0xa25803
9036,3322,Male,Mid,"['Earring', 'Frown', 'FrumpyHair', 'ShadowBeard', 'VR']",0xFAf9f6
9037,1894,Female,Light,"['BlackLipstick', 'Cigarette', 'ClownEyesGreen', 'HalfShaved', 'Mole']",0x3BE89b
9038,1751,Male,Dark,"['BigBeard', 'CrazyHair', 'EyePatch', 'MedicalMask', 'Smile', 'HiddenSmile']",0x69021A
9039,391,Male,Mid,"['BuckTeeth', 'MessyHair', 'RegularShades']",0x6F4A2d
9040,6258,Male,Mid,"['Chinstrap', 'HornedRimGlasses', 'StringyHair']",0x4bbb41
9041,9950,Female,Dark,"['Bandana', 'BlackLipstick', 'Earring']",0xb6bE4D
9042,5685,Female,Dark,"['BlueEyeShadow', 'Earring', 'PurpleLipstick', 'WildHair', 'HiddenEarring']",0xEC46DD
9043,7843,Female,Mid,"['ClownEyesBlue', 'FrumpyHair', 'Pipe']",0x5c76d0
9044,5806,Female,Light,"['BlackLipstick', 'Cigarette', 'GreenEyeShadow', 'MessyHair']",0xD24FF5
9045,7674,Male,Light,"['EyePatch', 'Headband', 'Muttonchops']",0x3BE89b
9046,3751,Male,Light,"['ClassicShades', 'Earring', 'Fedora', 'Smile']",0x15F732
9047,9894,Male,Albino,"['Bandana', 'ShadowBeard']",0x61FEf9
9048,3124,Male,Albino,"['FrontBeardDark', 'PurpleHair']",0xC272Ed
9049,2898,Male,Light,"['Bandana', 'ClownEyesBlue', 'LuxuriousBeard', 'SilverChain']",0x407f0c
9050,1087,Female,Dark,"['BlackLipstick', 'ClassicShades', 'RosyCheeks', 'StringyHair']",0x3BE89b
9051,7853,Male,Mid,"['CrazyHair', 'Earring', 'Pipe']",0xa25803
9052,1897,Female,Mid,"['BlondeBob', 'BlueEyeShadow', 'GoldChain']",0xC72AED
9053,3630,Female,Light,"['Earring', 'Mole', 'TassleHat', 'Vape', 'HiddenEarring']",0xBed872
9054,1749,Male,Dark,"['BigBeard', 'HornedRimGlasses', 'Mole', 'PurpleHair']",0x53774B
9055,9436,Male,Light,"['Cigarette', 'FrumpyHair', 'Mole']",0x00B278
9056,4383,Male,Light,"['Bandana', 'Mole', 'ShadowBeard', 'Smile']",0x6611fE
9057,643,Female,Dark,"['Pigtails', 'PurpleLipstick']",Opensea
